step,value
0,0.58
1,0.56
2,0.55
3,0.54
4,0.53
5,0.52
6,0.52
7,0.53
8,0.54
9,0.55
10,0.56
11,0.58
12,0.60
13,0.62
14,0.65
15,0.68
16,0.70
17,0.72
18,0.74
19,0.76
20,0.78
21,0.80
22,0.82
23,0.84
24,0.86
25,0.88
26,0.90
27,0.92
28,0.94
29,0.96
30,0.98
31,1.00
32,1.02
33,1.03
34,1.04
35,1.05
36,1.04
37,1.03
38,1.02
39,1.00
40,0.98
41,0.96
42,0.94
43,0.92
44,0.90
45,0.88
46,0.87
47,0.86
48,0.86
49,0.87
50,0.88
51,0.89
52,0.90
53,0.91
54,0.92
55,0.94
56,0.96
57,0.98
58,1.00
59,1.03
60,1.06
61,1.09
62,1.12
63,1.15
64,1.18
65,1.21
66,1.23
67,1.25
68,1.26
69,1.27
70,1.28
71,1.30
72,1.32
73,1.34
74,1.35
75,1.36
76,1.36
77,1.35
78,1.33
79,1.30
80,1.26
81,1.22
82,1.18
83,1.14
84,1.10
85,1.06
86,1.02
87,0.98
88,0.94
89,0.90
90,0.86
91,0.82
92,0.78
93,0.72
94,0.66
95,0.62

