step,value
0,45
1,42
2,40
3,38
4,36
5,35
6,35
7,36
8,38
9,40
10,42
11,45
12,48
13,50
14,52
15,55
16,58
17,62
18,66
19,70
20,74
21,78
22,82
23,86
24,88
25,90
26,92
27,94
28,95
29,96
30,96
31,95
32,94
33,92
34,90
35,86
36,82
37,78
38,74
39,70
40,66
41,62
42,58
43,54
44,50
45,48
46,46
47,45
48,45
49,46
50,48
51,50
52,54
53,58
54,62
55,66
56,70
57,75
58,80
59,86
60,92
61,98
62,104
63,110
64,116
65,122
66,126
67,130
68,132
69,134
70,136
71,138
72,140
73,138
74,134
75,130
76,126
77,122
78,116
79,110
80,104
81,98
82,92
83,86
84,80
85,74
86,68
87,62
88,56
89,52
90,49
91,47
92,46
93,45
94,45
95,45

